ingredient,density
Maize flour,"0,55"
Corn flour,"0,55"
Corn starch,"0,54"
Maize starch,"0,54"
Maize sugar,"0,33"
Corn sugar,"0,33"
Boiled Corn,"0,90"
Maize bran,"0,21"
Corn bran,"0,21"
Coarse corn chops,"0,67"
Fine corn chops,"0,6"
Fermented corn flour,"0,55"
Corn germ flour,"0,56"
Corn grits,"0,665"
Ground corn,"0,56"
Kibbled corn,"0,335"
Shelled corn,"0,72"
Boiled white corn,"0,85"
Dry white corn,"0,81"
Popcorn kernels,"0,81"
Corn kernel,"0,81"
Fermented finger millet flour,"0,61"
Millet,"0,64"
Bulrush millet flour,"0,56"
Finger millet flour,"0,61"
Bulrush millet,"0,90"
Finger millet,"0,81"
Oat Flour,"0,53"
Oat middlings,"0,61"
Oats,"0,41"
Whole oat groats,"0,74"
Ground oats,"0,46"
Oat hulls,"0,13"
Rolled oats,"0,34"
Boiled macaronies,"0,55"
Raw macaronies,"0,39"
Boiled pasta noodles,"0,59"
Rice,"0,72"
Boiled rice,"0,73"
Rice bran,"0,42"
Hulled rice,"0,75"
Puffed rice,"0,1"
Raw rice,"0,85"
Rough rice,"0,58"
Boiled white rice,"0,73"
Raw white rice,"0,82"
Rye,"0,72"
Rye bran,"0,28"
Rye flour,"0,67"
Malted rye,"0,51"
Rye middlings,"0,67"
Rye shorts,"0,54"
Whole rye,"0,705"
Raw semolina,"0,78"
Fermented sorghum flour,"0,54"
Sorghum flour,"0,54"
Sorghum seed,"0,535"
Soy flour,"0,67"
Wheat,"0,77"
Wheat bran,"0,22"
Cracked wheat,"0,56"
Cut wheat,"0,74"
All purpose flour,"0,53"
Wheat flour,"0,58"
Malted wheat flour,"0,66"
Whole wheat flour,"0,51"
Wheat gluten,"0,69"
Wheat hulls,"0,7"
Wheat middlings,"0,24"
Shaved wheat,"0,54"
Whole wheat,"0,775"
Whey,"0,56"
Boiled arrowroot/cocoyam,"0,54"
Raw arrowroot/cocoyam,"0,52"
Cassava flour,"0,55"
Boiled cassava,"0,63"
Raw cassava,"0,63"
Boiled potato,"0,59"
Raw potato density,"0,59"
Potato flakes,"0,21"
Powdered potato,"0,77"
Boiled sweet potato,"0,65"
Raw sweet potato,"0,44"
Boiled yam,"0,79"
Raw yam,"0,66"
Almonds,"0,46"
Cashews,"0,5"
Coconut Chips,"0,61"
Flaxseed,"0,7"
Nuts,"0,63"
Peanuts,"0,53"
Shelled peanuts,"0,69"
Unshelled peanuts,"0,325"
Pistachio with shell,"0,6"
Pistachio without shell,"0,646"
Rapeseed,"0,77"
Sunflower seed,"0,62"
Dried apple slices,"0,24"
Loquat,"0,6"
Unripe paw paw,"0,56"
Alfalfa leaf meal,"0,23"
Alfalfa seed,"0,745"
Alfalfa stem meal,"0,19"
Chopped carrots,"0,54"
Grated carrots,"0,71"
Boiled cauliflower,"0,45"
Green chili,"0,5"
Red chili,"0,5"
French green beans,"0,53"
Fresh green peas,"0,73"
Spring onion leaves,"0,44"
Green olives with pit,"0,65"
Chopped onions,"0,22"
Minced onions,"0,13"
Cubed onions,"0,55"
Sallad leaves,"0,06"
Blanched spinach,"1,046"
Spinach leaves,"0,08"
Cinnamon powder,"0,56"
Clover seeds,"0,77"
Garlic flakes,"0,35"
Garlic powder,"0,32"
Sage leaves,"0,29"
Barbecue spice,"0,48"
Egg,1
Powdered egg,"0,35"
Potato chips,"0,09"
Glucose (at 15.6 C),"0,4"
Jam,"1,333"
Jelly,"1,245"
Nutella,"1,26"
Sucrose,"0,85"
Sucrose Octoacetate,"0,53"
White sugar,"0,85"
Dextrose,"0,6"
"Sugar, powdered","0,56"
Molasses,"1,18"
Corn syrup,"1,38"
Maple syrup,"1,32"
Baking powder,"0,9"
Gelatin,"0,72"
Monosodium glutamate,"1,62"
Mustard powdered,"0,26"
Protein supplement,"0,54"
Fine table salt,"1,38"
Table salt,"1,217"
Soy sauce,"1,12"
Sodium bicarbonate,"2,2"
Yeast,"0,95"
